Device_type;Timestamp;Heart rate;Activity type;Sleep stage;Caffeine
Apple Watch;20250602074248+0200;42;0;Awake;0
Apple Watch;20250602074813+0200;58;1;Awake;0
Apple Watch;20250602075146+0200;60;1;Awake;0
Apple Watch;20250602075658+0200;75;0;Awake;
Apple Watch;20250602080402+0200;84;0;Awake;
Apple Watch;20250602080903+0200;100;0;Awake;
Apple Watch;20250602081444+0200;81;1;Awake;
Apple Watch;20250602081659+0200;74;1;Awake;
Apple Watch;20250602082217+0200;91;1;Awake;
Apple Watch;20250602082648+0200;84;1;Awake;
Apple Watch;20250602083550+0200;101;1;Awake;
Apple Watch;20250602083734+0200;100;0;Awake;
Apple Watch;20250602084203+0200;101;0;Awake;
Apple Watch;20250602084658+0200;109;0;Awake;
Apple Watch;20250602084703+0200;105;0;Awake;
Apple Watch;20250602084708+0200;108;0;Awake;
Apple Watch;20250602084712+0200;107;0;Awake;
Apple Watch;20250602084714+0200;106;0;Awake;
Apple Watch;20250602084721+0200;105;0;Awake;
Apple Watch;20250602084725+0200;104;0;Awake;
Apple Watch;20250602084729+0200;104;0;Awake;
Apple Watch;20250602084737+0200;104;0;Awake;
Apple Watch;20250602084743+0200;103;0;Awake;
Apple Watch;20250602084748+0200;104;0;Awake;
Apple Watch;20250602084750+0200;105;0;Awake;
Apple Watch;20250602084754+0200;104;0;Awake;
Apple Watch;20250602084803+0200;104;0;Awake;
Apple Watch;20250602084805+0200;104;0;Awake;
Apple Watch;20250602084809+0200;104;0;Awake;
Apple Watch;20250602084817+0200;105;0;Awake;
Apple Watch;20250602084820+0200;104;0;Awake;
Apple Watch;20250602084827+0200;100;0;Awake;
Apple Watch;20250602084833+0200;100;0;Awake;
Apple Watch;20250602084836+0200;100;0;Awake;
Apple Watch;20250602084841+0200;100;0;Awake;
Apple Watch;20250602084845+0200;100;0;Awake;
Apple Watch;20250602084850+0200;100;0;Awake;
Apple Watch;20250602084859+0200;100;0;Awake;
Apple Watch;20250602084904+0200;101;0;Awake;
Apple Watch;20250602084905+0200;102;0;Awake;
